[31-07-2025 23:39:03,012] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:39:03,059] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:39:03,104] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:39:03,149] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 40%
[31-07-2025 23:39:08,360] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 50%
[31-07-2025 23:39:08,407] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 50%
[31-07-2025 23:39:08,455] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 50%
[31-07-2025 23:39:08,502] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 50%
[31-07-2025 23:39:08,548] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 50%
[31-07-2025 23:39:08,596] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 50%
[31-07-2025 23:39:08,642] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 50%
[31-07-2025 23:39:08,687] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 50%
[31-07-2025 23:39:08,732] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 50%
[31-07-2025 23:39:08,780] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 50%
[31-07-2025 23:39:08,824] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 50%
[31-07-2025 23:39:08,869] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 50%
[31-07-2025 23:39:14,526] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:39:14,570] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:39:14,617] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:39:14,661] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:39:14,708] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:39:14,753] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:39:14,801] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:39:14,848] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:39:14,896] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:39:14,944] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:39:14,991] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:39:15,038] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 60%
[31-07-2025 23:39:20,475] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
[31-07-2025 23:39:20,523] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
[31-07-2025 23:39:20,574] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
[31-07-2025 23:39:20,625] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
[31-07-2025 23:39:20,675] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
[31-07-2025 23:39:20,727] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
[31-07-2025 23:39:20,775] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
[31-07-2025 23:39:20,822] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
[31-07-2025 23:39:20,870] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
[31-07-2025 23:39:20,918] INFO  com.telcel.crm.dssc.respaldos.respaldosSoporte.utils.RespaldoArchivos - Porcentaje: 70%
